"filename", "language", "Shell Script", "PowerShell", "Markdown", "CMake", "JSON", "XML", "JavaScript", "comment", "blank", "total"
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/stop.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/close-hover.svg", "XML", 0, 0, 0, 0, 0, -6, 0, 0, -1, -7
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/close-normal.svg", "XML", 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/max-hover.svg", "XML", 0, 0, 0, 0, 0, -6, 0, 0, -1, -7
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/max-normal.svg", "XML", 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/min-hover.svg", "XML", 0, 0, 0, 0, 0, -5, 0, 0, -1, -6
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/min-normal.svg", "XML", 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/traffic-lights/no-focus.svg", "XML", 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/visibility-off.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/visibility-on.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/volume-off.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/resources/icons/volume-on.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/run.ps1", "PowerShell", 0, -15, 0, 0, 0, 0, 0, -2, -5, -22
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/client/run.sh", "Shell Script", -13, 0, 0, 0, 0, 0, 0, -3, -5, -21
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/server/README.md", "Markdown", 0, 0, -82, 0, 0, 0, 0, 0, -21, -103
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/server/package-lock.json", "JSON", 0, 0, 0, 0, -427, 0, 0, 0, -1, -428
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/server/package.json", "JSON", 0, 0, 0, 0, -20, 0, 0, 0, -1, -21
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/server/server.js", "JavaScript", 0, 0, 0, 0, 0, 0, -444, -33, -43, -520
"/Users/maxbraudel/Personnel/Dev/Apps/mouffette copy 10/start.sh", "Shell Script", -32, 0, 0, 0, 0, 0, 0, -8, -10, -50
"Total", "-", -68, -43, -401, -111, -447, -45, -444, -58, -226, -1843
